,Attrition,Department,JobLevel,JobRole,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Salary
1115,No,Research & Development,1,Manager,44440,13,20,0,4.0,2.0,3.0,3,3,low
1116,No,Sales,5,Sales Representative,21540,21,1,0,4.0,4.0,2.0,3,4,low
1117,Yes,Research & Development,2,Laboratory Technician,191900,17,4,0,1.0,3.0,3.0,3,3,high
1118,No,Research & Development,1,Sales Representative,44900,21,5,0,2.0,4.0,4.0,3,4,low
1119,No,Sales,2,Research Scientist,35060,11,5,4,2.0,4.0,3.0,2,3,low
1120,No,Sales,1,Sales Executive,23720,12,0,0,2.0,4.0,3.0,3,3,low
1121,Yes,Sales,4,Laboratory Technician,102310,13,1,0,1.0,2.0,3.0,3,3,high
1122,No,Research & Development,1,Sales Executive,54100,18,5,0,2.0,1.0,1.0,3,3,medium
1123,No,Research & Development,3,Research Scientist,79780,16,5,1,3.0,3.0,2.0,3,3,medium
1124,No,Sales,1,Sales Executive,38670,11,4,2,3.0,1.0,4.0,4,3,low
1125,No,Research & Development,2,Research Scientist,28380,19,5,0,1.0,2.0,3.0,1,3,low
1126,No,Sales,4,Healthcare Representative,46950,16,14,2,1.0,4.0,2.0,3,3,low
1127,No,Research & Development,1,Research Director,33390,16,8,1,4.0,3.0,2.0,2,3,low
1128,No,Research & Development,2,Research Scientist,20800,13,7,7,3.0,1.0,2.0,4,3,low
1129,No,Research & Development,2,Laboratory Technician,20960,22,5,0,1.0,1.0,2.0,4,4,low
1130,No,Research & Development,3,Manager,62090,17,5,1,3.0,4.0,3.0,4,3,medium
1131,No,Research & Development,2,Human Resources,180610,14,10,8,4.0,1.0,3.0,3,3,high
1132,Yes,Sales,2,Sales Representative,171230,15,4,0,3.0,4.0,2.0,2,3,high
1133,No,Research & Development,3,Sales Representative,23720,12,1,0,1.0,1.0,2.0,2,3,low
1134,No,Research & Development,2,Sales Representative,48830,18,10,0,3.0,4.0,3.0,1,3,low
1135,No,Sales,1,Manager,39040,15,7,0,4.0,4.0,3.0,3,3,low
1136,No,Research & Development,2,Research Scientist,46270,17,1,0,4.0,4.0,3.0,2,3,low
1137,Yes,Research & Development,3,Sales Executive,70940,14,10,0,1.0,4.0,3.0,3,3,medium
1138,Yes,Research & Development,1,Research Scientist,34230,15,2,2,1.0,1.0,2.0,3,3,low
1139,No,Research & Development,3,Research Scientist,66740,17,4,2,1.0,3.0,2.0,3,3,medium
1140,No,Research & Development,4,Sales Executive,168800,14,9,2,4.0,3.0,3.0,3,3,high
1141,No,Research & Development,1,Research Scientist,90940,12,10,0,1.0,3.0,3.0,3,3,medium
1142,No,Research & Development,4,Sales Executive,84460,14,6,1,4.0,2.0,3.0,2,3,medium
1143,No,Sales,2,Laboratory Technician,119160,15,10,1,3.0,2.0,3.0,2,3,high
1144,No,Sales,1,Manufacturing Director,45340,13,1,0,4.0,4.0,3.0,3,3,low
1145,No,Research & Development,2,Sales Executive,98520,12,20,11,2.0,1.0,3.0,2,3,medium
1146,No,Research & Development,2,Research Scientist,61510,13,20,3,4.0,3.0,3.0,3,3,medium
1147,No,Research & Development,2,Healthcare Representative,23020,14,11,4,3.0,3.0,4.0,3,3,low
1148,No,Research & Development,2,Human Resources,23620,13,5,1,3.0,1.0,3.0,4,3,low
1149,No,Research & Development,1,Manufacturing Director,178610,11,4,1,2.0,3.0,2.0,1,3,high
1150,No,Research & Development,2,Research Scientist,191870,11,5,1,4.0,4.0,4.0,3,3,high
1151,No,Research & Development,3,Research Scientist,197170,21,10,9,4.0,3.0,4.0,2,4,high
1152,No,Research & Development,5,Research Scientist,35440,18,11,5,2.0,2.0,3.0,2,3,low
1153,No,Sales,2,Laboratory Technician,85000,12,2,1,3.0,2.0,3.0,3,3,medium
1154,No,Human Resources,2,Research Scientist,46610,11,12,1,4.0,2.0,2.0,2,3,low
1155,No,Research & Development,5,Sales Executive,41030,15,2,0,4.0,3.0,2.0,3,3,low
1156,No,Research & Development,2,Sales Executive,42490,13,17,12,1.0,3.0,3.0,2,3,low
1157,No,Research & Development,2,Research Scientist,140260,12,1,0,2.0,3.0,2.0,3,3,high
1158,No,Research & Development,2,Sales Executive,68930,17,15,5,4.0,2.0,3.0,3,3,medium
1159,No,Research & Development,3,Sales Executive,61250,13,2,1,1.0,3.0,3.0,3,3,medium
1160,No,Research & Development,2,Research Scientist,36690,19,8,7,1.0,3.0,3.0,3,3,low
1161,No,Research & Development,2,Laboratory Technician,100080,19,4,1,4.0,1.0,2.0,1,3,high
1162,No,Sales,1,Healthcare Representative,23870,17,5,1,4.0,4.0,3.0,1,3,low
1163,No,Research & Development,1,Sales Executive,46390,11,13,5,3.0,2.0,1.0,2,3,low
1164,No,Research & Development,2,Healthcare Representative,78980,15,2,2,4.0,3.0,3.0,2,3,medium
1165,No,Human Resources,2,Sales Executive,25340,11,3,1,4.0,3.0,4.0,3,3,low
1166,No,Research & Development,2,Sales Executive,131420,25,10,0,2.0,3.0,3.0,3,4,high
1167,No,Sales,3,Healthcare Representative,16110,14,9,8,2.0,4.0,3.0,2,3,low
1168,No,Research & Development,3,Manufacturing Director,53630,13,6,4,3.0,2.0,3.0,3,3,medium
1169,No,Research & Development,2,Research Director,50710,17,1,0,1.0,4.0,2.0,2,3,medium
1170,No,Research & Development,3,Sales Executive,136950,13,2,2,2.0,2.0,3.0,3,3,high
1171,No,Research & Development,1,Sales Executive,134020,14,7,1,1.0,4.0,3.0,3,3,high
1172,No,Sales,2,Research Director,20290,11,18,1,2.0,3.0,3.0,2,3,low
1173,No,Research & Development,2,Manager,63770,12,14,5,3.0,4.0,3.0,3,3,medium
1174,No,Research & Development,4,Sales Executive,54290,17,16,6,3.0,4.0,3.0,3,3,medium
1175,No,Research & Development,2,Manufacturing Director,27850,21,5,0,1.0,3.0,2.0,3,4,low
1176,No,Research & Development,1,Manager,46140,16,9,0,1.0,4.0,2.0,3,3,low
1177,No,Research & Development,1,Sales Representative,26100,15,4,1,2.0,4.0,3.0,3,3,low
1178,No,Sales,3,Research Scientist,66870,19,2,1,3.0,1.0,3.0,3,3,medium
1179,No,Research & Development,2,Research Director,47240,12,6,1,4.0,4.0,2.0,4,3,low
1180,Yes,Research & Development,2,Manufacturing Director,61790,11,1,1,4.0,1.0,2.0,3,3,medium
1181,No,Research & Development,2,Laboratory Technician,61200,19,9,3,1.0,4.0,3.0,3,3,medium
1182,No,Research & Development,2,Sales Executive,105960,15,4,0,4.0,2.0,3.0,2,3,high
1183,No,Research & Development,1,Sales Executive,54670,20,13,1,3.0,3.0,2.0,2,4,medium
1184,Yes,Research & Development,2,Sales Representative,29960,25,2,2,1.0,4.0,4.0,3,4,low
1185,No,Research & Development,3,Research Scientist,99980,24,22,4,1.0,3.0,2.0,2,4,medium
1186,Yes,Sales,2,Sales Executive,40780,24,10,9,4.0,3.0,1.0,3,4,low
1187,No,Research & Development,1,Healthcare Representative,109200,15,20,0,1.0,2.0,3.0,4,3,high
1188,No,Sales,1,Laboratory Technician,62320,13,8,1,4.0,3.0,3.0,3,3,medium
1189,No,Sales,1,Human Resources,132470,14,15,11,4.0,4.0,2.0,3,3,high
1190,No,Research & Development,1,Healthcare Representative,40810,13,5,0,3.0,2.0,3.0,3,3,low
1191,No,Sales,2,Research Scientist,57690,11,4,1,4.0,1.0,3.0,3,3,medium
1192,No,Research & Development,2,Healthcare Representative,23940,16,9,1,3.0,4.0,3.0,3,3,low
1193,No,Research & Development,3,Sales Representative,39040,22,10,1,1.0,4.0,3.0,2,4,low
1194,Yes,Sales,2,Laboratory Technician,167990,14,6,0,2.0,3.0,3.0,2,3,high
1195,No,Research & Development,1,Healthcare Representative,29500,14,6,0,2.0,2.728246013667426,2.0,2,3,low
1196,No,Sales,1,Laboratory Technician,36290,16,5,0,4.0,3.0,3.0,4,3,low
1197,No,Sales,1,Research Scientist,93620,11,2,2,3.0,3.0,2.7614364135407135,3,3,medium
1198,No,Sales,2,Manufacturing Director,32290,25,10,0,3.0,3.0,4.0,2,4,low
1199,No,Research & Development,1,Manager,35780,14,5,0,3.0,3.0,3.0,3,3,low
1200,No,Human Resources,2,Research Scientist,79880,18,4,1,3.0,4.0,3.0,3,3,medium
1201,No,Research & Development,3,Sales Executive,42840,11,4,0,4.0,2.0,3.0,2,3,low
1202,No,Research & Development,2,Sales Representative,75530,19,5,0,4.0,1.0,1.0,3,3,medium
1203,Yes,Research & Development,1,Research Scientist,173280,15,3,2,4.0,1.0,3.0,3,3,high
1204,No,Sales,2,Sales Executive,197010,11,20,9,2.0,4.0,2.0,4,3,high
1205,No,Research & Development,4,Sales Executive,147320,12,9,1,2.0,1.0,3.0,3,3,high
1206,No,Research & Development,2,Manager,92780,20,4,0,4.0,3.0,3.0,3,4,medium
1207,No,Research & Development,1,Sales Executive,13590,12,5,0,3.0,4.0,3.0,3,3,low
1208,No,Research & Development,1,Research Scientist,47790,14,7,1,4.0,1.0,3.0,3,3,low
1209,No,Research & Development,1,Laboratory Technician,164220,20,6,0,2.0,2.0,3.0,3,4,high
1210,No,Research & Development,3,Healthcare Representative,29960,18,9,0,4.0,2.0,2.0,2,3,low
1211,No,Sales,1,Sales Executive,12610,14,4,1,2.0,3.0,4.0,3,3,low
1212,Yes,Research & Development,1,Research Scientist,20990,12,6,0,2.0,4.0,1.0,3,3,low
1213,No,Sales,2,Manufacturing Director,58100,21,10,1,3.0,2.0,3.0,3,4,medium
1214,Yes,Research & Development,1,Sales Executive,56470,19,0,0,4.0,3.0,3.0,3,3,medium
1215,No,Research & Development,2,Research Scientist,34200,14,8,3,4.0,3.0,3.0,3,3,low
1216,No,Sales,4,Manufacturing Director,44000,17,2,2,1.0,2.0,3.0,2,3,low
1217,No,Research & Development,2,Research Scientist,35000,16,7,3,4.0,4.0,2.0,2,3,low
1218,No,Sales,5,Sales Representative,20660,12,1,0,3.0,1.0,2.0,3,3,low
1219,No,Research & Development,2,Laboratory Technician,171690,17,1,0,4.0,3.0,3.0,3,3,high
1220,No,Sales,2,Healthcare Representative,41620,15,9,1,4.0,3.0,3.0,3,3,low
1221,No,Research & Development,1,Sales Executive,92040,23,7,7,3.0,3.0,2.0,3,4,medium
1222,No,Human Resources,2,Manager,32940,11,5,0,1.0,2.0,3.0,3,3,low
1223,No,Sales,2,Laboratory Technician,21270,11,9,0,4.0,3.0,3.0,2,3,low
1224,No,Research & Development,2,Laboratory Technician,39750,15,5,4,2.7236031927023947,3.0,2.0,3,3,low
1225,No,Research & Development,1,Laboratory Technician,107930,11,2,1,2.0,4.0,3.0,2,3,high
1226,Yes,Research & Development,5,Research Director,100960,13,4,0,3.0,3.0,3.0,3,3,high
1227,No,Research & Development,4,Laboratory Technician,36460,14,10,8,2.0,1.0,3.0,4,3,low
1228,No,Human Resources,2,Research Director,74460,19,6,0,1.0,2.0,2.0,3,3,medium
1229,No,Research & Development,3,Sales Executive,108510,16,1,0,4.0,4.0,2.0,4,3,high
1230,No,Research & Development,2,Manager,21090,13,25,3,1.0,4.0,3.0,3,3,low
1231,No,Research & Development,1,Manufacturing Director,37220,14,3,1,4.0,4.0,3.0,3,3,low
1232,No,Research & Development,3,Research Scientist,93800,16,4,1,1.0,3.0,2.0,2,3,medium
1233,Yes,Research & Development,1,Research Director,54860,12,5,0,3.0,1.0,3.0,3,3,medium
1234,No,Sales,4,Research Scientist,27420,11,12,2,1.0,2.0,3.0,3,3,low
1235,No,Sales,2,Manufacturing Director,137570,12,0,0,3.0,4.0,3.0,3,3,high
1236,Yes,Sales,2,Research Scientist,84630,13,4,1,2.0,1.0,3.0,1,3,medium
1237,No,Sales,5,Human Resources,31620,15,14,4,3.0,3.0,2.0,3,3,low
1238,Yes,Research & Development,2,Manufacturing Director,165980,13,10,6,2.0,1.0,3.0,3,3,high
1239,No,Research & Development,2,Laboratory Technician,66510,20,9,4,3.0,2.0,3.0,2,4,medium
1240,No,Research & Development,1,Manufacturing Director,23450,15,22,5,1.0,4.0,3.0,3,3,low
1241,No,Sales,1,Research Scientist,34200,13,2,2,2.0,1.0,2.0,1,3,low
1242,No,Sales,1,Manufacturing Director,43730,14,1,0,3.0,4.0,3.0,3,3,low
1243,No,Human Resources,5,Healthcare Representative,47590,21,4,1,4.0,4.0,4.0,3,4,low
1244,No,Research & Development,1,Research Scientist,53010,16,10,1,4.0,3.0,3.0,3,3,medium
1245,Yes,Human Resources,1,Sales Executive,36730,14,1,0,4.0,4.0,4.0,3,3,low
1246,Yes,Human Resources,3,Sales Executive,47680,11,2,2,2.0,4.0,2.0,2,3,low
1247,No,Sales,1,Research Director,12740,19,5,1,4.0,3.0,2.0,2,3,low
1248,Yes,Research & Development,1,Research Director,49000,11,3,0,1.0,3.0,3.0,2,3,low
1249,No,Sales,3,Manufacturing Director,104660,13,2,2,4.0,4.0,3.0,3,3,high
1250,No,Research & Development,4,Sales Executive,170070,12,1,0,2.0,1.0,4.0,2,3,high
1251,No,Sales,4,Human Resources,29090,11,5,1,3.0,1.0,3.0,2,3,low
1252,No,Research & Development,1,Research Scientist,57650,14,1,0,3.0,4.0,3.0,3,3,medium
1253,No,Sales,3,Research Scientist,45990,15,1,0,4.0,1.0,3.0,2,3,low
1254,Yes,Sales,2,Manager,24040,12,1,0,1.0,3.0,2.0,3,3,low
1255,No,Sales,4,Healthcare Representative,31720,20,9,1,4.0,3.0,3.0,3,4,low
1256,No,Research & Development,1,Research Scientist,20330,14,12,3,3.0,4.0,3.0,1,3,low
1257,Yes,Sales,2,Sales Executive,102090,13,22,15,2.0,3.0,3.0,3,3,high
1258,No,Research & Development,1,Research Scientist,86200,13,9,8,2.0,3.0,3.0,2,3,medium
1259,No,Research & Development,3,Sales Executive,20640,16,1,0,2.0,2.0,3.0,2,3,low
1260,No,Research & Development,3,Sales Executive,40350,14,9,0,1.0,4.0,2.7614364135407135,3,3,low
1261,No,Research & Development,3,Research Scientist,38380,16,1,0,4.0,4.0,3.0,3,3,low
1262,Yes,Research & Development,1,Sales Executive,45910,16,1,0,1.0,3.0,3.0,1,3,low
1263,Yes,Research & Development,1,Sales Executive,25610,22,2,2,3.0,3.0,2.0,3,4,low
1264,No,Research & Development,3,Research Scientist,15630,12,4,1,2.0,1.0,2.0,3,3,low
1265,No,Research & Development,3,Manufacturing Director,48980,15,4,2,3.0,1.0,3.0,3,3,low
1266,No,Research & Development,3,Sales Executive,47890,20,2,0,3.0,4.0,2.0,3,4,low
1267,No,Sales,1,Human Resources,31800,14,15,8,1.0,4.0,3.0,3,3,low
1268,No,Research & Development,3,Manufacturing Director,65490,20,9,1,2.0,1.0,2.0,3,4,medium
1269,No,Human Resources,1,Laboratory Technician,63880,13,2,2,3.0,1.0,3.0,2,3,medium
1270,No,Sales,2,Research Scientist,112440,12,7,1,4.0,4.0,2.0,3,3,high
1271,No,Sales,4,Human Resources,160320,13,7,0,1.0,3.0,4.0,3,3,high
1272,No,Research & Development,2,Sales Executive,23620,11,9,7,1.0,4.0,3.0,3,3,low
1273,No,Research & Development,2,Manufacturing Director,163280,17,10,9,4.0,4.0,3.0,3,3,high
1274,No,Sales,4,Research Scientist,83760,14,27,13,2.0,3.0,2.0,3,3,medium
1275,No,Research & Development,1,Laboratory Technician,166060,11,21,7,1.0,1.0,2.0,3,3,high
1276,No,Sales,2,Sales Executive,86060,14,17,12,3.0,3.0,3.0,3,3,medium
1277,No,Research & Development,3,Research Scientist,22720,17,5,0,4.0,3.0,3.0,3,3,low
1278,No,Research & Development,2,Laboratory Technician,20180,13,6,0,2.0,2.0,3.0,3,3,low
1279,No,Research & Development,1,Sales Executive,70830,12,1,0,2.0,1.0,3.0,3,3,medium
1280,No,Human Resources,2,Sales Representative,40840,13,3,1,2.0,1.0,2.0,3,3,low
1281,Yes,Sales,4,Laboratory Technician,144110,18,1,0,4.0,3.0,2.0,4,3,high
1282,No,Research & Development,3,Research Scientist,23080,19,4,1,1.0,3.0,2.0,2,3,low
1283,No,Research & Development,1,Sales Representative,48410,11,5,0,3.0,2.0,3.0,3,3,low
1284,No,Research & Development,3,Sales Executive,42850,21,1,1,3.0,2.0,3.0,1,4,low
1285,No,Sales,2,Manufacturing Director,97150,15,10,0,2.0,2.0,3.0,2,3,medium
1286,No,Research & Development,2,Sales Representative,43200,17,1,0,2.0,4.0,3.0,3,3,low
1287,No,Research & Development,2,Research Director,21320,18,11,1,3.0,4.0,3.0,3,3,low
1288,No,Research & Development,2,Healthcare Representative,101240,14,15,2,3.0,1.0,3.0,4,3,high
1289,No,Human Resources,1,Sales Executive,54730,13,0,0,4.0,1.0,4.0,1,3,medium
1290,No,Research & Development,3,Sales Executive,52070,17,5,0,1.0,3.0,4.0,3,3,medium
1291,No,Research & Development,3,Manager,164370,15,4,0,2.0,2.0,3.0,3,3,high
1292,No,Sales,4,Human Resources,22960,18,10,3,4.0,4.0,2.0,3,3,low
1293,No,Research & Development,3,Human Resources,40690,13,6,0,2.0,3.0,3.0,3,3,low
1294,No,Research & Development,2,Laboratory Technician,74410,12,1,1,1.0,4.0,3.0,3,3,medium
1295,No,Sales,2,Laboratory Technician,24300,13,13,1,2.0,4.0,3.0,4,3,low
1296,No,Research & Development,1,Research Scientist,58780,14,5,1,1.0,2.0,3.0,3,3,medium
1297,No,Human Resources,2,Sales Executive,26440,11,6,0,4.0,4.0,2.0,3,3,low
1298,No,Research & Development,2,Laboratory Technician,64390,22,0,0,3.0,1.0,3.0,3,4,medium
1299,No,Research & Development,5,Manufacturing Director,24510,17,4,0,4.0,4.0,3.0,2,3,low
1300,No,Sales,1,Sales Representative,63920,21,11,10,3.0,4.0,3.0,4,4,medium
1301,Yes,Sales,2,Research Scientist,97140,22,9,4,3.0,4.0,3.0,3,4,medium
1302,No,Research & Development,1,Healthcare Representative,60770,16,22,11,3.0,2.0,2.0,2,3,medium
1303,No,Research & Development,5,Sales Representative,24500,12,10,1,3.0,4.0,1.0,3,3,low
1304,No,Research & Development,1,Manufacturing Director,92500,12,11,2,3.0,2.0,2.0,3,3,medium
1305,No,Research & Development,1,Laboratory Technician,20740,15,10,9,3.0,1.0,2.0,3,3,low
1306,No,Sales,1,Research Scientist,101690,14,11,5,2.0,3.0,3.0,2,3,high
1307,No,Research & Development,1,Laboratory Technician,48550,25,4,0,1.0,3.0,1.0,2,4,low
1308,No,Sales,2,Research Scientist,40870,20,3,0,1.0,3.0,2.0,3,4,low
1309,No,Sales,2,Laboratory Technician,23670,13,5,0,2.0,3.0,4.0,2,3,low
1310,No,Research & Development,2,Sales Executive,29720,14,37,1,4.0,3.0,2.0,4,3,low
1311,No,Research & Development,1,Research Scientist,195860,16,3,1,2.0,2.0,4.0,2,3,high
1312,Yes,Human Resources,2,Healthcare Representative,54840,17,3,0,3.0,1.0,3.0,3,3,medium
1313,No,Human Resources,1,Sales Representative,20610,15,1,0,4.0,1.0,3.0,2,3,low
1314,Yes,Sales,2,Healthcare Representative,99240,22,1,1,4.0,4.0,3.0,3,4,medium
1315,No,Research & Development,4,Laboratory Technician,41980,22,16,2,1.0,3.0,3.0,2,4,low
1316,No,Sales,1,Research Scientist,68150,20,1,0,3.0,4.0,4.0,3,4,medium
1317,No,Research & Development,2,Sales Executive,47230,14,3,2,3.0,4.0,3.0,3,3,low
1318,No,Research & Development,4,Research Scientist,61420,13,8,0,1.0,2.0,2.0,2,3,medium
1319,Yes,Sales,2,Research Director,82370,13,6,0,3.0,3.0,3.0,2,3,medium
1320,No,Research & Development,1,Laboratory Technician,88530,22,2,2,4.0,4.0,3.0,3,4,medium
1321,No,Research & Development,1,Sales Representative,193310,12,0,0,2.0,4.0,3.0,3,3,high
1322,No,Research & Development,1,Sales Executive,20730,14,13,12,1.0,1.0,2.0,3,3,low
1323,Yes,Human Resources,5,Sales Executive,55620,15,9,0,1.0,3.0,2.7614364135407135,3,3,medium
1324,No,Research & Development,1,Laboratory Technician,196130,17,5,4,4.0,4.0,3.0,3,3,high
1325,No,Research & Development,2,Laboratory Technician,34070,13,5,1,2.0,3.0,3.0,3,3,low
1326,No,Sales,2,Sales Representative,50630,12,1,0,3.0,2.0,3.0,3,3,medium
1327,No,Sales,1,Laboratory Technician,46390,12,5,1,3.0,4.0,3.0,3,3,low
1328,No,Sales,2,Healthcare Representative,48760,21,11,5,3.0,1.0,3.0,3,4,low
1329,No,Human Resources,1,Research Scientist,26900,11,9,2,2.0,4.0,3.0,3,3,low
1330,No,Research & Development,2,Manufacturing Director,175670,13,1,0,1.0,4.0,3.0,3,3,high
1331,No,Research & Development,1,Sales Executive,24080,12,25,4,3.0,4.0,4.0,3,3,low
1332,No,Research & Development,3,Healthcare Representative,28140,24,10,0,1.0,3.0,2.0,3,4,low
1333,No,Sales,2,Sales Executive,112450,21,7,0,3.0,2.0,4.0,3,4,high
1334,Yes,Research & Development,2,Laboratory Technician,33120,19,5,4,2.0,2.0,3.0,1,3,low
1335,No,Research & Development,2,Sales Representative,190490,14,20,15,1.0,3.0,3.0,3,3,high
1336,Yes,Research & Development,3,Sales Executive,21410,20,7,7,2.0,3.0,2.0,3,4,low
1337,No,Sales,2,Manager,57690,19,5,4,3.0,2.0,2.0,2,3,medium
1338,Yes,Sales,1,Research Scientist,43850,13,40,15,4.0,4.0,2.0,2,3,low
1339,Yes,Research & Development,1,Manager,53320,23,0,0,4.0,3.0,2.0,3,4,medium
1340,No,Sales,1,Sales Executive,46630,13,2,2,3.0,4.0,3.0,3,3,low
1341,No,Research & Development,1,Sales Executive,47240,11,15,5,3.0,1.0,2.0,2,3,low
1342,No,Sales,1,Sales Executive,32110,13,3,1,2.0,3.0,3.0,4,3,low
1343,No,Research & Development,2,Sales Executive,53770,14,2,2,3.0,4.0,3.0,4,3,medium
1344,Yes,Research & Development,2,Sales Executive,40660,22,2,2,2.0,3.0,3.0,2,4,low
1345,No,Research & Development,1,Manufacturing Director,52080,11,9,0,3.0,3.0,3.0,1,3,medium
1346,No,Research & Development,2,Sales Executive,48770,13,8,5,3.0,3.0,3.0,4,3,low
1347,No,Human Resources,2,Research Scientist,31170,21,3,0,2.0,2.0,3.0,4,4,low
1348,Yes,Research & Development,1,Manager,15690,11,4,0,1.0,4.0,3.0,4,3,low
1349,No,Research & Development,1,Research Scientist,196580,13,15,5,4.0,3.0,4.0,4,3,high
1350,No,Sales,3,Research Scientist,30690,14,2,2,1.0,3.0,3.0,2,3,low
1351,No,Research & Development,2,Laboratory Technician,104350,11,11,4,3.0,4.0,1.0,3,3,high
1352,Yes,Research & Development,2,Research Director,41480,15,5,0,1.0,1.0,4.0,2,3,low
1353,No,Research & Development,2,Healthcare Representative,57680,23,6,0,3.0,4.0,2.0,3,4,medium
1354,No,Research & Development,2,Research Director,50420,16,3,2,4.0,3.0,3.0,3,3,medium
1355,No,Sales,2,Laboratory Technician,57700,16,5,0,1.0,3.0,2.0,4,3,medium
1356,No,Sales,3,Laboratory Technician,77560,21,8,0,4.0,4.0,4.0,3,4,medium
1357,No,Research & Development,3,Sales Executive,103060,13,3,2,4.0,1.0,3.0,3,3,high
1358,No,Sales,2,Research Scientist,39360,11,5,1,2.0,4.0,3.0,3,3,low
1359,No,Sales,3,Manufacturing Director,79450,12,7,7,4.0,1.0,2.0,2,3,medium
1360,No,Research & Development,4,Research Scientist,57430,12,5,1,3.0,1.0,3.0,4,3,medium
1361,No,Research & Development,5,Manufacturing Director,152020,18,1,0,2.0,2.0,3.0,2,3,high
1362,No,Research & Development,2,Manufacturing Director,54400,12,20,2,2.0,2.0,3.0,3,3,medium
1363,No,Sales,3,Laboratory Technician,37600,14,10,0,3.0,2.0,3.0,3,3,low
1364,No,Sales,5,Manufacturing Director,35170,12,7,4,2.0,3.0,1.0,2,3,low
1365,No,Sales,1,Research Scientist,25800,17,17,0,2.0,2.0,1.0,3,3,low
1366,No,Sales,1,Manufacturing Director,21660,19,9,3,2.0,4.0,3.0,1,3,low
1367,No,Research & Development,3,Healthcare Representative,58690,11,10,0,4.0,3.0,3.0,4,3,medium
1368,No,Research & Development,3,Research Director,80080,15,1,0,2.0,3.0,3.0,3,3,medium
1369,No,Sales,1,Research Scientist,52060,11,1,0,2.0,2.0,2.0,1,3,medium
1370,No,Research & Development,4,Laboratory Technician,52950,18,12,2,3.0,4.0,2.0,3,3,medium
1371,No,Sales,2,Manufacturing Director,164130,16,4,1,3.0,3.0,3.0,3,3,high
1372,No,Research & Development,1,Laboratory Technician,132690,25,2,2,3.0,4.0,3.0,3,4,high
1373,No,Research & Development,1,Healthcare Representative,27830,16,2,2,4.0,2.0,1.0,4,3,low
1374,No,Sales,2,Healthcare Representative,54330,13,5,0,3.0,4.0,1.0,2,3,medium
1375,No,Research & Development,2,Manufacturing Director,20130,14,5,1,3.0,4.0,1.0,3,3,low
1376,No,Research & Development,1,Manufacturing Director,139660,19,1,0,3.0,3.0,2.0,3,3,high
1377,No,Research & Development,2,Manufacturing Director,43740,15,5,4,3.0,2.0,3.0,4,3,low
1378,No,Sales,4,Laboratory Technician,68420,12,9,1,1.0,3.0,3.0,3,3,medium
1379,No,Human Resources,1,Manager,174260,12,10,7,2.0,4.0,3.0,2,3,high
1380,No,Sales,2,Laboratory Technician,176030,16,8,0,1.0,4.0,4.0,2,3,high
1381,No,Research & Development,1,Manufacturing Director,45810,14,5,1,3.0,3.0,3.0,3,3,low
1382,No,Research & Development,2,Healthcare Representative,47350,13,5,1,3.0,2.0,2.0,3,3,low
1383,Yes,Research & Development,2,Healthcare Representative,41870,22,0,0,3.0,1.0,4.0,3,4,low
1384,No,Sales,2,Research Director,55050,21,8,7,4.0,2.0,2.0,3,4,medium
1385,No,Sales,1,Sales Executive,54700,18,12,6,3.0,1.0,3.0,3,3,medium
1386,No,Research & Development,2,Sales Executive,54760,13,5,0,3.0,1.0,4.0,3,3,medium
1387,No,Research & Development,4,Manager,25870,12,2,2,3.0,1.0,3.0,2,3,low
1388,No,Research & Development,1,Sales Executive,24400,18,3,0,3.0,4.0,4.0,3,3,low
1389,Yes,Research & Development,2,Sales Executive,159720,21,1,1,2.0,4.0,2.0,3,4,high
1390,No,Research & Development,2,Laboratory Technician,153790,12,24,15,2.0,1.0,3.0,1,3,high
1391,No,Sales,1,Manufacturing Director,70820,14,2,2,3.0,4.0,3.0,4,3,medium
1392,No,Sales,2,Sales Representative,27280,11,4,0,3.0,4.0,3.0,4,3,low
1393,No,Sales,2,Manager,53680,14,3,1,4.0,2.0,3.0,3,3,medium
1394,Yes,Research & Development,5,Laboratory Technician,53470,24,4,0,2.0,2.0,2.0,3,4,medium
1395,No,Sales,3,Sales Executive,31950,11,3,0,3.0,3.0,2.0,2,3,low
1396,No,Sales,1,Manager,39890,13,4,1,4.0,1.0,3.0,3,3,low
1397,No,Research & Development,1,Human Resources,33060,11,8,1,4.0,2.0,3.0,1,3,low
1398,No,Research & Development,2,Sales Executive,70050,20,20,9,4.0,3.0,3.0,3,4,medium
1399,No,Research & Development,2,Laboratory Technician,26550,17,24,2,3.0,2.0,3.0,2,3,low
1400,No,Human Resources,1,Research Scientist,13930,11,10,1,4.0,3.0,2.0,4,3,low
1401,No,Human Resources,2,Sales Representative,25700,18,7,1,4.0,2.0,3.0,3,3,low
1402,No,Research & Development,2,Sales Representative,35370,11,33,11,3.0,3.0,3.0,3,3,low
1403,No,Sales,1,Research Scientist,39860,12,7,0,4.0,2.0,2.0,3,3,low
1404,Yes,Research & Development,2,Research Director,108830,12,1,0,2.0,3.0,3.0,4,3,high
1405,No,Research & Development,1,Healthcare Representative,20280,20,5,2,4.0,4.0,4.0,2,4,low
1406,No,Research & Development,1,Sales Executive,95250,19,20,11,1.0,4.0,3.0,3,3,medium
